arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
B,1,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,5.960464477539062e-07,1.493935997132212e-07,6.273531552146059e-06,1.5609709146448498,1.349394339652361,0.9143529968598595
B,1,K0p368_a0p186,0.368,0.186,transition,True,,5.960464477539062e-07,6.877817213535309e-07,1.1733487468371117e-05,0.9713869868827426,1.1123332303304865,0.8681436256544307
B,1,K0p472_a0p032,0.472,0.032,weak,True,,7.748603820800781e-07,2.4837208911776543e-07,3.3302069033761877e-06,3.8616024123289114,1.042524146533307,23.980505134866434
B,1,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,1.3709068298339844e-06,3.0209776014089584e-07,6.2155874279532946e-06,0.6982076839918357,0.3529435604423056,0.9528020835628429
B,1,K0p280_a0p137,0.28,0.137,strong_nonlinear,True,,1.0728836059570312e-06,5.281181074678898e-07,3.05555596958753e-05,0.5913359223125695,0.24595587241314884,0.4972208207675427
B,1,K0p342_a0p167,0.342,0.167,transition,True,,8.940696716308594e-07,5.377223715186119e-07,1.1929231538076296e-05,0.7076779929001374,0.42475708691429553,0.7628532610912471
B,1,K0p474_a0p051,0.474,0.051,weak,True,,8.940696716308594e-07,4.881876520812511e-07,5.096499250221994e-06,3.135666400221037,1.7402566370439774,19.498877757158333
B,1,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,5.364418029785156e-07,4.923989763483405e-06,5.950179049964158e-05,0.5588103745035933,0.33855789721263696,0.694347284467003
B,1,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,1.1324882507324219e-06,3.1478703022003174e-07,1.6056857895235628e-05,0.6132699000764519,0.21227835518905136,0.4444582576103807
B,1,K0p321_a0p185,0.321,0.185,transition,True,,6.556510925292969e-07,1.5389960026368499e-06,3.9256803285794434e-05,0.6231188673351045,0.31936060426596014,0.6520981835717892
B,1,K0p412_a0p043,0.412,0.043,transition,True,,7.748603820800781e-07,2.903570930357091e-07,2.2527072798962713e-06,1.2543804588056828,0.7590738106730903,1.5211348794597865
B,1,K0p409_a0p182,0.409,0.182,strong_nonlinear,True,,7.152557373046875e-07,1.1300289770588279e-07,1.312486848014023e-05,0.9636922053009964,2.106053280922541,1.2100269745910095
B,2,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,4.76837158203125e-07,3.186170943081379e-06,4.78625060625841e-06,0.7668267831155666,0.33034432292178856,0.4560426204830556
